Species,X,Y,ScientificName
polyglotta,-9.21,38.423,Hippolais polyglotta
polyglotta,9.4835,42.5953,Hippolais polyglotta
polyglotta,3.1693,43.2385,Hippolais polyglotta
polyglotta,1.761,42.094,Hippolais polyglotta
polyglotta,-0.4908,43.1586,Hippolais polyglotta
polyglotta,-0.4991,43.3444,Hippolais polyglotta
polyglotta,-1.1975,43.3212,Hippolais polyglotta
polyglotta,-1.751,43.3794,Hippolais polyglotta
polyglotta,6.0518,43.4932,Hippolais polyglotta
polyglotta,4.0515,43.6115,Hippolais polyglotta
polyglotta,3.2839,43.6863,Hippolais polyglotta
polyglotta,2.2383,44.7489,Hippolais polyglotta
polyglotta,5.8803,43.8929,Hippolais polyglotta
polyglotta,5.7907,44.1222,Hippolais polyglotta
polyglotta,0.3401,44.3325,Hippolais polyglotta
polyglotta,-0.757,42.561,Hippolais polyglotta
polyglotta,4.709,44.4656,Hippolais polyglotta
polyglotta,3.5579,45.3068,Hippolais polyglotta
polyglotta,-1.0467,44.6899,Hippolais polyglotta
polyglotta,0.1423,45.6268,Hippolais polyglotta
polyglotta,6.409,45.0453,Hippolais polyglotta
polyglotta,2.9201,45.3809,Hippolais polyglotta
polyglotta,4.1766,45.6065,Hippolais polyglotta
polyglotta,3.2269,45.6768,Hippolais polyglotta
polyglotta,3.2291,45.3953,Hippolais polyglotta
polyglotta,-0.8192,45.3423,Hippolais polyglotta
polyglotta,3.0378,45.2533,Hippolais polyglotta
polyglotta,0.0393,45.361,Hippolais polyglotta
polyglotta,4.0939,45.8774,Hippolais polyglotta
polyglotta,0.8914,45.663,Hippolais polyglotta
polyglotta,2.2579,46.0096,Hippolais polyglotta
polyglotta,2.9261,46.2543,Hippolais polyglotta
polyglotta,4.2703,45.4651,Hippolais polyglotta
polyglotta,0.6927,46.0503,Hippolais polyglotta
polyglotta,-0.6116,45.9688,Hippolais polyglotta
polyglotta,2.8266,45.8729,Hippolais polyglotta
polyglotta,2.4068,45.7909,Hippolais polyglotta
polyglotta,-0.4339,45.685,Hippolais polyglotta
polyglotta,-0.9821,46.326,Hippolais polyglotta
polyglotta,3.3352,45.889,Hippolais polyglotta
polyglotta,6.8759,47.6541,Hippolais polyglotta
polyglotta,0.7808,46.4013,Hippolais polyglotta
polyglotta,2.7343,46.6444,Hippolais polyglotta
polyglotta,-1.3044,46.1663,Hippolais polyglotta
polyglotta,0.6642,46.6681,Hippolais polyglotta
polyglotta,5.4846,47.077,Hippolais polyglotta
polyglotta,1.3969,46.7186,Hippolais polyglotta
polyglotta,3.3371,46.4214,Hippolais polyglotta
polyglotta,0.6871,46.4591,Hippolais polyglotta
polyglotta,0.4248,46.6869,Hippolais polyglotta
polyglotta,-0.1423,46.7746,Hippolais polyglotta
polyglotta,-1.8514,46.7875,Hippolais polyglotta
polyglotta,-1.2322,47.3287,Hippolais polyglotta
polyglotta,4.106,48.1071,Hippolais polyglotta
polyglotta,1.6542,46.674,Hippolais polyglotta
polyglotta,4.1026,46.8438,Hippolais polyglotta
polyglotta,4.3513,46.9352,Hippolais polyglotta
polyglotta,2.0453,47.8542,Hippolais polyglotta
polyglotta,3.0436,47.0627,Hippolais polyglotta
polyglotta,-0.4719,47.3176,Hippolais polyglotta
polyglotta,5.0717,47.7708,Hippolais polyglotta
polyglotta,2.5703,47.4116,Hippolais polyglotta
polyglotta,-1.5147,49.1829,Hippolais polyglotta
polyglotta,1.3096,47.7254,Hippolais polyglotta
polyglotta,3.5764,48.5223,Hippolais polyglotta
polyglotta,-0.7743,49.2071,Hippolais polyglotta
polyglotta,-1.2522,49.6091,Hippolais polyglotta
polyglotta,0.9671,48.0112,Hippolais polyglotta
polyglotta,5.9125,48.01,Hippolais polyglotta
polyglotta,-0.2912,48.1563,Hippolais polyglotta
polyglotta,0.0493,48.7591,Hippolais polyglotta
polyglotta,3.324,51.136,Hippolais polyglotta
polyglotta,-0.2438,49.2687,Hippolais polyglotta
polyglotta,2.2399,50.8185,Hippolais polyglotta
polyglotta,-0.9328,48.8204,Hippolais polyglotta
polyglotta,0.7909,49.4925,Hippolais polyglotta
polyglotta,4.1384,49.2597,Hippolais polyglotta
polyglotta,4.6287,49.1913,Hippolais polyglotta
polyglotta,1.4982,49.5869,Hippolais polyglotta
polyglotta,4.605,50.093,Hippolais polyglotta
polyglotta,1.3047,49.8197,Hippolais polyglotta
polyglotta,4.1335,50.121,Hippolais polyglotta
polyglotta,3.7731,50.1603,Hippolais polyglotta
polyglotta,4.34,49.982,Hippolais polyglotta
polyglotta,2.7796,50.3754,Hippolais polyglotta
polyglotta,3.3529,50.3937,Hippolais polyglotta
polyglotta,1.6355,50.4446,Hippolais polyglotta
polyglotta,2.2092,50.6366,Hippolais polyglotta
polyglotta,1.939,50.8062,Hippolais polyglotta
polyglotta,1.7152,50.7566,Hippolais polyglotta
polyglotta,7.674,46.303,Hippolais polyglotta
polyglotta,11.247,43.763,Hippolais polyglotta
polyglotta,-7.4233,39.3996,Hippolais polyglotta
polyglotta,12.696,42.74,Hippolais polyglotta
polyglotta,3.886,50.427,Hippolais polyglotta
polyglotta,-8.852,37.274,Hippolais polyglotta
polyglotta,-7.879,37.196,Hippolais polyglotta
polyglotta,-8.281,37.076,Hippolais polyglotta
polyglotta,-8.184,39.803,Hippolais polyglotta
polyglotta,-7.052,38.148,Hippolais polyglotta
polyglotta,-4.796,41.6,Hippolais polyglotta
polyglotta,-6.963,40.911,Hippolais polyglotta
polyglotta,-8.331,41.573,Hippolais polyglotta
polyglotta,-8.555,38.193,Hippolais polyglotta
polyglotta,-8.788,38.954,Hippolais polyglotta
polyglotta,-8.195,39.457,Hippolais polyglotta
polyglotta,-8.475,39.342,Hippolais polyglotta
polyglotta,-9.378,39.361,Hippolais polyglotta
polyglotta,-8.978,39.55,Hippolais polyglotta
polyglotta,-7.591,37.143,Hippolais polyglotta
polyglotta,-3.555,40.448,Hippolais polyglotta
polyglotta,-7.906,38.568,Hippolais polyglotta
polyglotta,9.196,45.504,Hippolais polyglotta
polyglotta,-7.52,30.605,Hippolais polyglotta
polyglotta,-5.996,31.362,Hippolais polyglotta
polyglotta,12.22,45.3637,Hippolais polyglotta
polyglotta,3.094,42.222,Hippolais polyglotta
