HUC,REF_SITE_NO,DATE,COUNTY,PROJECT,WATERWAY,COMMONLOC,ROAD_NO,RIVER_BASIN,STATE,LATITUDE,LONGITUDE,COLLECTORS,SITE_COMMENTS,SCI_NAME,SCI_CLEAN
,USNM-1010786,04/04/2003,,,,"Glover-Archbold Park, Spring, circa 0.4 km south of Reservoir Road",,ATL:Potomac,DC,38.9228,-77.0844,"Hershler, R.",,Fontigens bottimeri,Fontigens bottimeri
,USNM-858032,10/10/1987,,,Spring,"Rock Creek Park, S Military Road, Near Nature Center",,ATL:Potomac,DC,38.9618,-77.0443,"Hershler, R.",,Fontigens bottimeri,Fontigens bottimeri
,0713-25,14/07/2013,,,Rock Creek,at National Zoo,Olmsted Walk,ATL:Potomac,DC,38.9277,-77.0445,R. T. Dillon,,Physa acuta,Physa acuta
,USNM-758747,01/09/1977,,,Reflecting Pool,Washington,,ATL:Potomac,DC,38.8893,-77.0428,I. G. Sohn,,Physa acuta,Physa acuta
,,06/01/2009,,,Fletchers Cove,C&O Canal National Park,,ATL:,DC,38.9194,-77.1018,Aydin Orstan,http://snailstales.blogspot.com/2009/12/pomatiopsis-lapidaria-after-all-these.html,Pomatiopsis lapidaria,Pomatiopsis lapidaria
,,02/01/2007,DC/Fairfax,,Potomac R.,tidal basin,,ATL:,DC/VA,38.8810,-77.0440,Aydin Orstan,Approx. coords.  See http://snailstales.blogspot.com/2007/06/mysterious-snails-of-potomac.html,Bellamya japonica,Bellamya japonica
,USNM-890938,01/10/1996,DC/Fairfax,,Potomac R.,Alexandria,,ATL:Potomac,DC/VA,38.8059,-77.0342,"Strong, E., Hanger, R.",,Bithynia tentaculata,Bithynia tentaculata
,USNM-888795,14/09/1997,DC/Fairfax,,Potomac R.,NW Corner Roosevelt Island,,ATL:Potomac,DC/VA,38.8996,-77.0666,"Harasewych, M. G.",,Pleurocera virginica,Pleurocera virginica
,0912-116,28/09/2012,Kent,,Jordan Branch,4 km W of Whigville,Underwoods Corner Rd.,ATL:Chesapeake,DE,39.2347,-75.7188,R. T. Dillon,,Campeloma decisum,Campeloma decisum
,202212,10/27/10,Kent,DNREC 1010022-016,Alston Branch,,DuPont Hwy. (Rt. 13),ATL:Delaware,DE,39.2299,-75.5792,Robin Tyler,,Campeloma decisum,Campeloma decisum
,0912-117,28/09/2012,Kent,,Mud Millpond,Choptank Mills,Mud Mill Rd 207,ATL:Chesapeake,DE,39.0680,-75.7360,R. T. Dillon,By kayak,Ferrissia fragilis,Ferrissia fragilis
,0912-116,28/09/2012,Kent,,Jordan Branch,4 km W of Whigville,Underwoods Corner Rd.,ATL:Chesapeake,DE,39.2347,-75.7188,R. T. Dillon,,Ferrissia fragilis,Ferrissia fragilis
,207204,11/01/11,Kent,DNREC 1110017-003,Price Prong ,,600m E of Ingram Br. Rd. (Rd. 291),ATL:Chesapeake,DE,38.9345,-75.7181,DE- DNREC,,Ferrissia fragilis,Ferrissia fragilis
,207192,10/18/11,Kent,DNREC 1110016-012,Luther Marvel Prong,,Darling Farm Rd. (Rd. 215),ATL:Chesapeake,DE,39.0919,-75.6668,DE- DNREC,,Ferrissia fragilis,Ferrissia fragilis
,206311,10/25/10,Kent,DNREC 1010022-025,Fan Branch,,0.1 Mile Abv Confl w/ Beaverdam Br.,ATL:Delaware,DE,38.9930,-75.5808,Robin Tyler,,Ferrissia fragilis,Ferrissia fragilis
,202212,10/27/10,Kent,DNREC 1010022-016,Alston Branch,,DuPont Hwy. (Rt. 13),ATL:Delaware,DE,39.2299,-75.5792,Robin Tyler,,Ferrissia fragilis,Ferrissia fragilis
,206332,10/25/10,Kent,DNREC 1010022-022,Murderkill River,,Reeves Crossing Rd. (Rd. 286),ATL:Delaware,DE,38.9833,-75.5779,Robin Tyler,,Ferrissia fragilis,Ferrissia fragilis
,206714,10/18/11,Kent,DNREC 1110017-009,Trib Browns Branch ,,off 2nd Ave.,ATL:Delaware,DE,38.9340,-75.5742,DE- DNREC,,Ferrissia fragilis,Ferrissia fragilis
,206341,10/18/11,Kent,DNREC 1110017-012,Black Swamp Creek,,Above Rt. 13,ATL:Delaware,DE,38.9748,-75.5690,DE- DNREC,,Ferrissia fragilis,Ferrissia fragilis
,209061,10/17/11,Kent,DNREC 1110016-015,Puncheon Run,,Rt. 13,ATL:Delaware,DE,39.1390,-75.5245,DE- DNREC,,Ferrissia fragilis,Ferrissia fragilis
