Scientific name,Latitude,Longitude,Observation date,Collector,Geodetic datum,Sampling method,Verbatim locality,Coordinate uncertainty
R. armeniacus,38.52072,-121.96693,2007-08-01,Some guy,,,,
R. ursinus,38.51267,-122.0977,2007-08-16,Some guy,,,,
R. ursinus,38.5126,-122.09777,2007-08-16,Some guy,,,,
R. ulmifolius,38.51253,-122.09793,2007-08-16,Some guy,,,,
R. ursinus,38.51257,-122.0979,2007-08-16,Some guy,,,,
R. ursinus,38.51248,-122.0981,2007-08-16,Some guy,,,,
R. armeniacus,38.51278,-122.09892,2007-08-16,Some guy,,,,
R. armeniacus,38.5128,-122.09892,2007-08-16,Some guy,,,,
R. armeniacus,38.51302,-122.09938,2007-08-16,Some guy,,,,
R. ursinus,38.5131,-122.09977,2007-08-16,Some guy,,,,
R. ulmifolius,38.5131,-122.10023,2007-08-16,Some guy,,,,
R. ursinus,38.51315,-122.10018,2007-08-16,Some guy,,,,
R. armeniacus,38.51303,-122.10072,2007-08-16,Some guy,,,,
R. ursinus,38.80162,-121.72367,2007-08-20,Some guy,,,,
R. ursinus,38.80242,-121.7231,2007-08-20,Some guy,,,,
R. ursinus,38.80278,-121.72345,2007-08-20,Some guy,,,,
R. armeniacus,38.80187,-121.72232,2007-08-20,Some guy,,,,
R. ursinus,38.80183,-121.72273,2007-08-20,Some guy,,,,
R. ursinus,38.80148,-121.72193,2007-08-20,Some guy,,,,
R. leucodermis,39.0972,-120.93385,2007-08-27,Some guy,,,,
R. armeniacus,39.0972,-120.93385,2007-08-27,Some guy,,,,
inbred R. armeniacus,39.0988,-120.9281,2007-08-27,Some guy,,,,
R. armeniacus,39.09863,-120.92843,2007-08-27,Some guy,,,,
R. armeniacus,39.09863,-120.92883,2007-08-27,Some guy,,,,
R. armeniacus,39.09943,-120.9254,2007-08-27,Some guy,,,,
R. armeniacus,39.09947,-120.92517,2007-08-27,Some guy,,,,
R. armeniacus,39.09967,-120.92517,2007-08-27,Some guy,,,,
R. armeniacus,39.0999,-120.92518,2007-08-27,Some guy,,,,
R. armeniacus,39.0998,-120.92447,2007-08-27,Some guy,,,,
R. armeniacus,39.1,-120.92462,2007-08-27,Some guy,,,,
R. armeniacus,39.10007,-120.92467,2007-08-27,Some guy,,,,
R. armeniacus,39.09978,-120.9246,2007-08-27,Some guy,,,,
R. armeniacus,39.10025,-120.92478,2007-08-27,Some guy,,,,
R. armeniacus,39.10025,-120.9251,2007-08-27,Some guy,,,,
R. armeniacus,39.09087,-120.94003,2007-08-27,Some guy,,,,
R. armeniacus,39.78295,-121.74595,2007-08-30,Some guy,,,,
R. armeniacus,39.7831,-121.74538,2007-08-30,Some guy,,,,
R. armeniacus,39.78318,-121.74505,2007-08-30,Some guy,,,,
R. armeniacus,39.7834,-121.7452,2007-08-30,Some guy,,,,
R. ursinus,39.78372,-121.74512,2007-08-30,Some guy,,,,
R. armeniacus,39.77605,-121.75242,2007-08-30,Some guy,,,,
R. ursinus,39.77662,-121.75217,2007-08-30,Some guy,,,,
R. pensilvanicus,39.77215,-121.76202,2007-08-30,Some guy,,,,
R. pensilvanicus,39.77215,-121.76202,2007-08-30,Some guy,,,,
R. ursinus x pensilvanicus,39.77232,-121.76235,2007-08-30,Some guy,,,,
R. ursinus x pensilvanicus,39.7721,-121.7625,2007-08-30,Some guy,,,,
R. pensilvanicus,39.7721,-121.7625,2007-08-30,Some guy,,,,
R. armeniacus,39.7721,-121.7625,2007-08-30,Some guy,,,,
R. ursinus,39.77213,-121.7629,2007-08-30,Some guy,,,,
R. armeniacus,39.77198,-121.76332,2007-08-30,Some guy,,,,
R. armeniacus,39.77205,-121.77312,2007-08-30,Some guy,,,,
R. armeniacus,39.7715,-121.77248,2007-08-30,Some guy,,,,
R. pensilvanicus,39.77135,-121.77193,2007-08-30,Some guy,,,,
R. armeniacus,38.73958,-120.8116,2007-09-07,Some guy,,,,
R. armeniacus,38.76792,-120.82257,2007-09-07,Some guy,,,,
R. armeniacus,38.76792,-120.82468,2007-09-07,Some guy,,,,
R. anglocandicans,38.76768,-120.82455,2007-09-07,Some guy,,,,
R. armeniacus,38.76798,-120.82452,2007-09-07,Some guy,,,,
R. armeniacus,38.76755,-120.82445,2007-09-07,Some guy,,,,
R. armeniacus,38.76747,-120.82433,2007-09-07,Some guy,,,,
R. armeniacus,38.76712,-120.82427,2007-09-07,Some guy,,,,
R. armeniacus,38.76685,-120.82413,2007-09-07,Some guy,,,,
R. ursinus,38.70813,-120.81258,2007-09-07,Some guy,,,,
R. armeniacus,38.7082,-120.8125,2007-09-07,Some guy,,,,
R. ursinus,38.70815,-120.81273,2007-09-07,Some guy,,,,
R. armeniacus,38.70815,-120.81273,2007-09-07,Some guy,,,,
R. armeniacus,38.70827,-120.81298,2007-09-07,Some guy,,,,
R. armeniacus,38.7083,-120.813,2007-09-07,Some guy,,,,
R. ursinus,38.70827,-120.81307,2007-09-07,Some guy,,,,
R. laciniatus,38.76378,-120.74695,2007-09-07,Some guy,,,,
Loganberry,38.7476,-120.7384,2007-09-07,Some guy,,,,
Loganberry,38.74752,-120.7384,2007-09-07,Some guy,,,,
R. armeniacus,38.7475,-120.73847,2007-09-07,Some guy,,,,
R. ursinus,37.69503,-121.18203,2007-09-20,Some guy,,,,
R. ursinus x armeniacus,37.69502,-121.18207,2007-09-20,Some guy,,,,
R. ursinus,37.695,-121.18217,2007-09-20,Some guy,,,,
R. ursinus x armeniacus,37.69477,-121.18235,2007-09-20,Some guy,,,,
R. ursinus,37.69482,-121.18245,2007-09-20,Some guy,,,,
R. ursinus x armeniacus,37.69482,-121.18245,2007-09-20,Some guy,,,,
R. armeniacus,37.6948,-121.18253,2007-09-20,Some guy,,,,
R. ursinus,37.6946,-121.18275,2007-09-20,Some guy,,,,
R. ursinus,37.6942,-121.18305,2007-09-20,Some guy,,,,
R. ursinus,37.69423,-121.18322,2007-09-20,Some guy,,,,
R. ursinus,37.69403,-121.18363,2007-09-20,Some guy,,,,
R. armeniacus,38.59118,-121.33238,2007-12-17,Some guy,,,,
R. armeniacus,38.59118,-121.33238,2007-12-17,Some guy,,,,
R. armeniacus,38.59088,-121.3324,2007-12-17,Some guy,,,,
R. armeniacus,38.59062,-121.33243,2007-12-17,Some guy,,,,
R. armeniacus,38.5908,-121.33257,2007-12-17,Some guy,,,,
R. ursinus,38.58928,-121.33163,2007-12-17,Some guy,,,,
R. armeniacus,38.5891,-121.33297,2007-12-17,Some guy,,,,
R. armeniacus,38.58963,-121.33308,2007-12-17,Some guy,,,,
R. armeniacus,38.59007,-121.33257,2007-12-17,Some guy,,,,
R. armeniacus,38.59167,-121.33178,2007-12-17,Some guy,,,,
R. armeniacus,38.59207,-121.33208,2007-12-17,Some guy,,,,
R. armeniacus,38.26607,-121.41055,2007-12-21,Some guy,,,,
R. armeniacus,38.26587,-121.41055,2007-12-21,Some guy,,,,
